"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"current_infectionE. ferrisi",0.248352244924933,0.504682007336486,0.492096491086811,0.623462405262886,-0.749889216309044,1.24659370615891,"IRGM1"
"current_infectionE. falciformis",0.220877379077553,0.501777427488068,0.440189946732518,0.660514084165789,-0.77161893572757,1.21337369388268,"IRGM1"
"(Intercept)",-19.5844054020835,0.454263200815181,-43.1124629222422,4.91976108139998e-80,-20.4829204170328,-18.6858903871343,"MPO"
"current_infectionE. ferrisi",0.380430209040634,0.653283838857612,0.582335252171379,0.561326781184975,-0.911739918726506,1.67260033680777,"MPO"
"current_infectionE. falciformis",0.400181229001048,0.649524015749082,0.616114599765072,0.538871925577617,-0.884552114297297,1.68491457229939,"MPO"
"(Intercept)",-16.4780608088759,0.322444901592022,-51.103493116244,2.67574311703287e-89,-17.1158443340533,-15.8402772836985,"MUC2"
"current_infectionE. ferrisi",-0.189952604777787,0.463713641681938,-0.409633419644092,0.682733873571576,-1.10716022569081,0.727255016135233,"MUC2"
"current_infectionE. falciformis",-0.37459377821749,0.461044845728275,-0.812488810336389,0.417963131650104,-1.2865226241122,0.537335067677218,"MUC2"
"(Intercept)",-18.1788482209821,0.421690928260734,-43.109412611651,4.96317956232982e-80,-19.0129365425328,-17.3447598994314,"MUC5AC"
"current_infectionE. ferrisi",-0.0517002039405034,0.606441085104941,-0.0852518162280463,0.932189396097888,-1.25121717927791,1.14781677139691,"MUC5AC"
"current_infectionE. falciformis",-0.173753143592759,0.602950854564833,-0.288171319896646,0.773664195541259,-1.36636657811882,1.0188602909333,"MUC5AC"
"(Intercept)",-16.9198034476162,0.417799069776076,-40.4974655800086,1.12757178212161e-76,-17.7461938238386,-16.0934130713939,"MYD88"
"current_infectionE. ferrisi",0.0514320992775693,0.600844135480614,0.0855997358390274,0.931913334424315,-1.13701432650542,1.23987852506056,"MYD88"
"current_infectionE. falciformis",-0.478320808716931,0.5973861168816,-0.800689529267606,0.424739394377337,-1.6599274076603,0.703285790226441,"MYD88"
"(Intercept)",-16.3324704128936,0.517731679237942,-31.5462063996811,1.31646777522079e-63,-17.3565236196588,-15.3084172061285,"NCR1"
"current_infectionE. ferrisi",-0.0181954989105466,0.744558965603663,-0.0244379555564068,0.980539900977875,-1.49090429176337,1.45451329394228,"NCR1"
"current_infectionE. falciformis",-1.93800692158177,0.740273829743827,-2.61795952215739,0.0098712161070263,-3.40223988169215,-0.473773961471397,"NCR1"
"(Intercept)",-19.0075593086413,0.560454784364974,-33.9145276994609,2.49606188453813e-67,-20.1161171624327,-17.8990014548499,"PRF1"
"current_infectionE. ferrisi",1.05450263174785,0.805999808875185,1.30831623052053,0.193022577265038,-0.539733769133846,2.64873903262955,"PRF1"
